source	target
AIMP2	PFDN6
AIMP2	PIH1D1
AIMP2	TCP1
AIMP2	CCT2
AIMP2	CCT7
TXN	PIH1D1
MIF	PIH1D1
SNRPD2	PIH1D1
SNRPD3	PIH1D1
SUB1	PIH1D1
SRP14	PIH1D1
PFN1	PIH1D1
MYL6	PIH1D1
SSBP1	PIH1D1
PPIA	PIH1D1
CFL1	PIH1D1
EEF1E1	PIH1D1
ARPC3	PIH1D1
BASP1	PIH1D1
PPIB	PIH1D1
HPRT1	PIH1D1
PRDX6	PIH1D1
NUDT21	PIH1D1
TPI1	PIH1D1
PSME2	PIH1D1
PRDX3	PIH1D1
PSMA7	PIH1D1
PSMB5	PIH1D1
TPM4	PIH1D1
RPL7	PIH1D1
PSMA1	PIH1D1
PRDX4	PIH1D1
MTAP	PIH1D1
SLC25A6	PIH1D1
TPM3	PIH1D1
PHB2	PIH1D1
HNRNPC	PIH1D1
AIMP1	PIH1D1
RACK1	PIH1D1
EIF3G	PIH1D1
ECH1	PIH1D1
HNRNPAB	PIH1D1
MDH1	PIH1D1
HNRNPA2B1	PIH1D1
NUDC	PIH1D1
HNRNPA1	PIH1D1
HSPBP1	PIH1D1
ALDOA	PIH1D1
HNRNPA3	PIH1D1
PSMD4	PIH1D1
NAP1L4	PIH1D1
CTH	PIH1D1
CTSD	PIH1D1
PGK1	PIH1D1
LANCL1	PIH1D1
TXNDC5	PIH1D1
AHCY	PIH1D1
BYSL	PIH1D1
HNRNPK	PIH1D1
EIF3E	PIH1D1
PTBP1	PIH1D1
FARSA	PIH1D1
PKM	PIH1D1
SMARCD1	PIH1D1
ATP5F1A	PIH1D1
HSPD1	PIH1D1
MCCC2	PIH1D1
CTTN	PIH1D1
STIP1	PIH1D1
EIF2A	PIH1D1
CTPS1	PIH1D1
AIFM1	PIH1D1
MSN	PIH1D1
TKT	PIH1D1
DDX5	PIH1D1
EZR	PIH1D1
SYNCRIP	PIH1D1
PLS3	PIH1D1
