protA	protB	qvalues
CDK1	ACADM	0.0
CHD4	ACADM	0.0
CHERP	ACADM	0.0
CKAP4	ACADM	0.0
CLTA	ACADM	0.0
CLTB	ACADM	0.0
CLTC	ACADM	0.0
CNDP2	ACADM	0.0
CNOT1	ACADM	0.0
COG1	ACADM	0.0
COPA	ACADM	0.0
COPB1	ACADM	0.0
COPB2	ACADM	0.0
COPG1	ACADM	0.0
COPS4	ACADM	0.0
CORO1C	ACADM	0.0
CPOX	ACADM	0.0
CPSF6	ACADM	0.0
CS	ACADM	0.0
CSE1L	ACADM	0.0
CYFIP1	ACADM	0.0
DAP3	ACADM	0.0
DARS	ACADM	0.0
DBT	ACADM	0.0
DCTN1	ACADM	0.0
DCTN2	ACADM	0.0
DDOST	ACADM	0.0
DDX17	ACADM	0.0
DDX21	ACADM	0.0
DDX39B	ACADM	0.0
DDX46	ACADM	0.0
DDX5	ACADM	0.0
DDX6	ACADM	0.0
DHX15	ACADM	0.0
DHX9	ACADM	0.0
DIAPH1	ACADM	0.0
DLD	ACADM	0.0
DLST	ACADM	0.0
DNAJB11	ACADM	0.0
DPCD	ACADM	0.0
DPM1	ACADM	0.0
DPYSL2	ACADM	0.0
DSG1	ACADM	0.0
DYNC1H1	ACADM	0.0
DYNC1I2	ACADM	0.0
DYNC1LI1	ACADM	0.0
DYNC1LI2	ACADM	0.0
ECH1	ACADM	0.0
ECHS1	ACADM	0.0
ECI1	ACADM	0.0
EEA1	ACADM	0.0
EEF1D	ACADM	0.0
EEF1E1	ACADM	0.0
EEF1G	ACADM	0.0
EEF2	ACADM	0.0
EFTUD2	ACADM	0.0
EIF3B	ACADM	0.0
EIF3D	ACADM	0.0
EIF3I	ACADM	0.0
EIF3L	ACADM	0.0
EIF4A1	ACADM	0.0
EIF4A3	ACADM	0.0
EIF4G1	ACADM	0.0
EIF5A	ACADM	0.0
ELAVL1	ACADM	0.0
ENO1	ACADM	0.0
ENO2	ACADM	0.0
EPPK1	ACADM	0.0
EPRS	ACADM	0.0
FBL	ACADM	0.0
FDPS	ACADM	0.0
FH	ACADM	0.0
FKBP10	ACADM	0.0
FKBP4	ACADM	0.0
FLNA	ACADM	0.0
FLNB	ACADM	0.0
FUBP1	ACADM	0.0
GADD45GIP1	ACADM	0.0
GANAB	ACADM	0.0
GAPDH	ACADM	0.0
GCN1	ACADM	0.0
GDI2	ACADM	0.0
GEMIN4	ACADM	0.0
GOLIM4	ACADM	0.0
GPS1	ACADM	0.0
GRPEL1	ACADM	0.0
GSTO1	ACADM	0.0
H4C1	ACADM	0.0
HACD3	ACADM	0.0
HADHA	ACADM	0.0
HADHB	ACADM	0.0
HAGH	ACADM	0.0
HAT1	ACADM	0.0
HDAC2	ACADM	0.0
HDAC6	ACADM	0.0
HM13	ACADM	0.0
HNRNPA0	ACADM	0.0
